"Species_Parkki","Species_Perch","Species_Pike","Species_Roach","Species_Smelt","Species_Whitefish","Weight","Length1","Length2","Length3","Height","Width"
0,1,0,0,0,0,4.20931499163456,1.45147133163201,1.18397421616622,0.820210419846874,0.959842997076366,2.20217360139195
0,0,0,0,0,0,-0.442108313169722,-0.312871878592838,-0.288494332300453,-0.110952845047284,0.588800121570399,-0.246721005355177
0,0,0,0,0,0,-0.315106994267217,-0.233127552706969,-0.204619541565009,-0.00749026005904437,0.812826008668342,-0.0793994025592493
0,0,0,0,0,0,-0.182813953743773,-0.243095593442703,-0.185980699179355,-0.0161121421413975,0.788976586104373,0.149378909386864
0,0,0,0,0,0,-0.121959155102989,-0.00386261578509679,0.0470048306413215,0.190813027835082,0.871166083433431,0.00842100451046199
0,0,0,0,0,0,0.0553135191984256,0.0160734656863703,0.0470048306413215,0.233922438246849,0.804425037902169,0.405926983141544
0,0,0,0,0,0,0.108230735407803,0.0459775878935711,0.112240778991111,0.294275612823322,1.07474960833369,0.284888316693229
0,0,0,0,0,0,0.240523775931247,0.0459775878935711,0.112240778991111,0.277031848658615,1.20942183692142,0.490583746460913
0,0,0,0,0,0,-0.0505209132203293,0.12572191377944,0.140199042569592,0.320141259070382,0.857164465489809,0.145805163668884
0,0,0,0,0,0,0.108230735407803,0.12572191377944,0.140199042569592,0.328763141152735,1.16867712870548,0.235910424558287
0,0,0,0,0,0,0.240523775931247,0.215434280401042,0.205434990919382,0.423603844058622,1.22041310700716,0.303635835213781
0,0,0,0,0,0,0.174377255669525,0.205466239665308,0.233393254497863,0.423603844058622,1.22886074983314,0.38846835651928
0,0,0,0,0,0,0.240523775931247,0.235370361872509,0.233393254497863,0.423603844058622,1.2542036783111,0.218803313908283
0,0,0,0,0,0,0.240523775931247,0.275242524815444,0.279990360461998,0.440847608223328,1.11134050322635,-0.0428417414441725
0,0,0,0,0,0,-0.182813953743773,0.315114687758378,0.326587466426134,0.518444546964508,1.14720798119193,0.370072353970988
0,0,0,0,0,0,0.505109856978134,0.305146647022644,0.326587466426134,0.509822664882155,1.39025273266329,0.427486629440179
0,0,0,0,0,0,0.505109856978134,0.305146647022644,0.326587466426134,0.509822664882155,1.50310577328888,0.66722052252174
0,0,0,0,0,0,0.769695938025021,0.40482705437998,0.419781678354404,0.604663367788041,1.36831686455161,0.494626180141907
0,0,0,0,0,0,0.769695938025021,0.40482705437998,0.419781678354404,0.621907131952748,1.3864256237587,0.443129090205765
0,0,0,0,0,0,0.531568465082823,0.454667258058648,0.46637878431854,0.630529014035101,1.54861103160564,0.405809811150791
0,0,0,0,0,0,0.637402897501578,0.464635298794382,0.46637878431854,0.639150896117455,1.27809977293488,0.753693451697786
0,0,0,0,0,0,0.438963336716412,0.494539421001583,0.512975890282675,0.708125952776281,1.4308807607297,0.661068993007183
0,0,0,0,0,0,0.730008025867988,0.504507461737316,0.512975890282675,0.682260306529221,1.63276075544681,0.544424276212123
0,0,0,0,0,0,0.558027073187511,0.51447550247305,0.55957299624681,0.725369716940988,1.52287139061929,0.49152112238694
0,0,0,0,0,0,0.716778721815644,0.544379624680251,0.606170102210946,0.802966655682168,1.51024659844012,0.98979501306599
0,0,0,0,0,0,0.769695938025021,0.554347665415984,0.606170102210946,0.794344773599814,1.69037741328481,0.672493262105645
0,0,0,0,0,0,0.835842458286743,0.544379624680251,0.606170102210946,0.828832301929228,1.71826396902252,0.944449452644405
0,0,0,0,0,0,0.822613154234399,0.564315706151718,0.606170102210946,0.802966655682168,1.71868401756083,0.96600909894304
0,0,0,0,0,0,0.806737989371585,0.634091991301853,0.699364314139216,0.880563594423348,1.754901535975,0.826281499969549
0,0,0,0,0,0,1.16657505959535,0.644060032037586,0.699364314139216,0.889185476505701,1.84185158340489,1.02951631793141
0,0,0,0,0,0,1.56345418116568,0.713836317187721,0.792558526067487,0.975404297329234,2.32430066568227,1.26655525522564
0,0,0,0,0,0,1.35178531632817,0.863356928223725,0.932349843959893,1.10473252856453,2.10958585451684,1.0927306069429
0,0,0,0,0,0,1.44439044469458,0.863356928223725,0.932349843959893,1.09611064648218,2.12057712460258,1.08435280960402
0,0,0,0,0,0,1.36501462038052,0.982973417052529,1.02554405588816,1.20819511355277,2.27697519703283,1.3525009104433
