"Weight","Length1","Height","Width"
4.20931499163456,1.45147133163201,0.959842997076366,2.20217360139195
-0.442108313169722,-0.312871878592838,0.588800121570399,-0.246721005355177
-0.315106994267217,-0.233127552706969,0.812826008668342,-0.0793994025592493
-0.182813953743773,-0.243095593442703,0.788976586104373,0.149378909386864
-0.121959155102989,-0.00386261578509679,0.871166083433431,0.00842100451046199
0.0553135191984256,0.0160734656863703,0.804425037902169,0.405926983141544
0.108230735407803,0.0459775878935711,1.07474960833369,0.284888316693229
0.240523775931247,0.0459775878935711,1.20942183692142,0.490583746460913
-0.0505209132203293,0.12572191377944,0.857164465489809,0.145805163668884
0.108230735407803,0.12572191377944,1.16867712870548,0.235910424558287
0.240523775931247,0.215434280401042,1.22041310700716,0.303635835213781
0.174377255669525,0.205466239665308,1.22886074983314,0.38846835651928
0.240523775931247,0.235370361872509,1.2542036783111,0.218803313908283
0.240523775931247,0.275242524815444,1.11134050322635,-0.0428417414441725
-0.182813953743773,0.315114687758378,1.14720798119193,0.370072353970988
0.505109856978134,0.305146647022644,1.39025273266329,0.427486629440179
0.505109856978134,0.305146647022644,1.50310577328888,0.66722052252174
0.769695938025021,0.40482705437998,1.36831686455161,0.494626180141907
0.769695938025021,0.40482705437998,1.3864256237587,0.443129090205765
0.531568465082823,0.454667258058648,1.54861103160564,0.405809811150791
0.637402897501578,0.464635298794382,1.27809977293488,0.753693451697786
0.438963336716412,0.494539421001583,1.4308807607297,0.661068993007183
0.730008025867988,0.504507461737316,1.63276075544681,0.544424276212123
0.558027073187511,0.51447550247305,1.52287139061929,0.49152112238694
0.716778721815644,0.544379624680251,1.51024659844012,0.98979501306599
0.769695938025021,0.554347665415984,1.69037741328481,0.672493262105645
0.835842458286743,0.544379624680251,1.71826396902252,0.944449452644405
0.822613154234399,0.564315706151718,1.71868401756083,0.96600909894304
0.806737989371585,0.634091991301853,1.754901535975,0.826281499969549
1.16657505959535,0.644060032037586,1.84185158340489,1.02951631793141
1.56345418116568,0.713836317187721,2.32430066568227,1.26655525522564
1.35178531632817,0.863356928223725,2.10958585451684,1.0927306069429
1.44439044469458,0.863356928223725,2.12057712460258,1.08435280960402
1.36501462038052,0.982973417052529,2.27697519703283,1.3525009104433
1.49730766090396,1.10258990588133,2.24925199350446,1.35109484655426
1.43116114064224,1.16239815029573,2.01311470688528,1.13034281597475
-0.976572196884435,-1.3395800743734,-1.1317186913418,-1.27314764435541
-0.899842233380837,-0.980730607886989,-0.863097651093419,-0.948756987954478
-0.876029486086618,-0.881050200529653,-0.798386840163982,-0.900306369777926
-0.852216738792398,-0.811273915379518,-0.788819067902508,-0.742007010270014
-0.764903332046925,-0.771401752436583,-0.64894290464573,-0.507897372744619
-0.761751545885134,-0.731529589493649,-0.588455915129286,-0.63830979845321
